Q,3361,3362,3363,Wages,Revenue in billions,Expenditure,Revenue,Profit,Share,EIT
2022Q1,5856213386.00,2680975871.00,9014968712.00,17552157969.00,537.20,13146513700.00,537200000000.00,506501000000.00,0.034653725,986.5693333
2022Q1,6183563790.00,2749589396.00,8994874217.00,17928027403.00,540.70,14429251800.00,540700000000.00,508343000000.00,0.035267599,996.5263333
2022Q3,6335202916.00,2618553283.00,9331828645.00,18285584844.00,556.20,14207530400.00,556200000000.00,523707000000.00,0.034915685,1001.659
2022Q4,6152791143.00,2561520877.00,9546407040.00,18260719060.00,556.20,13828039700.00,556200000000.00,524111000000.00,0.034841304,1010.840667
2023Q1,7123837935.00,2623714414.00,10012334168.00,19759886517.00,587.60,15205377500.00,587600000000.00,552635000000.00,0.035755781,1016.114
2023Q2,6511091974.00,2539984409.00,9748974527.00,18800050910.00,606.20,15207384600.00,606200000000.00,572193000000.00,0.032856161,1023.756333
2023Q3,6457945825.00,2462593430.00,9381763078.00,18302302333.00,593.40,14178381900.00,593400000000.00,560919000000.00,0.032629118,1023.341667
2023Q4,7049741850.00,2662196268.00,9970567245.00,19682505363.00,563.00,13910986300.00,563000000000.00,529407000000.00,0.037178435,1005.886333
2024Q1,7868371134.00,2771057164.00,10485210674.00,21124638972.00,567.80,12767151100.00,567800000000.00,533908000000.00,0.03956605,1016.108667
2024Q2,7325878424.00,2644768222.00,10146406461.00,20117053107.00,594.40,11935031700.00,594400000000.00,562348000000.00,0.035773322,1012.357
2024Q3,6835352462.00,2491118424.00,9390712571.00,18717183457.00,565.10,11394268000.00,565100000000.00,534989000000.00,0.034986139,989.0116667
